75,浇浇花降降火,好看好看好看
59,beween,回复 @贫神 :吐槽吐对了点有人支持你，吐错了自然也有人反驳。更何况一开始我并没有敌意，你自己跟个炸毛鸡似的，我都不知道你炸毛的点在哪。
我看是你自己觉得评论区是你老母的吧，没教养的东西。
58,贫神,回复 @beween :这是你认为的“基本常识”吧？
我就不看完，我就BB。
看到一半看不下去吐槽一下人之常情吧，评论区是你家，还是天下都是你老母，就得顺着你的心意来？同样的话给你，看不惯我的评论那就直接右上角，为何还要在我这卖弄智商。
56,贫神,回复 @beween :如果浮躁我就只会回答你四个字，关你屁事。
So，现在我心平气和跟你说，常识，一个生活在社会中的心智健全的成年人所应该具备的基本知识，包括生存技能（生活自理能力）、基本劳作技能、基础的自然科学以及人文社科知识等，我既不是电影工作人员，也不是电影疯狂爱好者，我为什么就得知道这东西？我偶尔看个电影逗个乐需要多高的要求？
还说你不是狂妄自认博学，知道这么点东西你能上天了。
55,beween,回复 @贫神 :常识而已，经常看电影的人基本都知道。
你对不了解的东西妄加评论，被教育了就说别人是“狂妄自认博学”，是不是有点太浮躁了啊

54,贫神,回复 @beween :嗯我也觉得狂妄自认博学的人也挺少的。
53,beween,回复 @贫神 :我没必要给每个人科普呀，毕竟无知的人只是少数。我觉得你看到一半看不下去选择右上角的选择是对的，自己开心就好。
52,贫神,回复 @beween := =然而它并没有让我觉得哪里有喜剧的点，你也不用这么“专业”到给每个人都要科普下吧，只是个人感想罢了。
51,beween,回复 @贫神 :这种电影准确点说叫美式轻喜剧，很常见的一种美国电影类型
50,贫神,回复 @beween :所以中间那两个喜剧字眼是被你吃了吗？
49,哟哟痞老板,恩 适合女孩子 挺好看的(=・ω・=)
48,beween,【剧情 / 喜剧 / 爱情 / 家庭】
47,malimalikong,这个真的很好看
46,爱拉贝拉,后半部分很不错
45,喵噗喵噗喵噗,心疼罗丝
44,4CARROT,其实鞋子也是很重要的线索啊，不过偷穿确实有点勉强
43,兰兰的姑姑,不算喜剧吧，到后面很精彩
42,祥子金,回复 @九流闲人:l l
41,京子i,卡的我心都伤了，真的是醉了
40,Sweeeee___,这个电影  看开头以为就是一般的ntr+和好剧情  越往后看越觉得不一般 
39,19个板栗,对！只有你一个人
38,小排排变肉肉啦,中国神翻译，in one's shoes ,本该是在她的立场思考，替她着想，不吐槽都难
37,精明猪,到后面部分的时候真得很棒 一定一定一定要耐心看下去
36,入b站丢节操,这是部好片，前面很平淡，耐心看下去，后面越看越暖！值得硬币
35,苦客,总有观众老爷刷看过了，看了半天发现看过了，啊原来我小时候看过，我特么管你看没看过能不能别那么婊，你上过的男人还要一个一个炫耀么
34,苦客,友情提示看完公司开头动画就可以空降到3分钟
33,重生之少妇白洁,看看当年的卡梅隆，看看现在的(￣o￣) . z Z
32,Moonster1987,剧情片，算不上喜剧，有时间可以看看
31,上将潘凤,这片子很好看啊，忍不住看了2遍
30,贫神,←_←并不，主要我是冲着喜剧来的
29,4CARROT,真的好看，推荐(๑•̀ㅂ•́)و✧
28,4CARROT,太天真了，后半段才是精华！！！
27,弹射小裤衩,性感呐 草鸡独特 眼睛好看
26,弹射小裤衩,真的好看 差点错过(●￣(ｴ)￣●)
25,九流闲人,你不是一个人，卡梅隆身材很好，脸一般偏下
24,鸡大腿,很暖很暖
I carry your heart, I carry it in my heart.
23,长空一笑,对 只有你
22,使用时请不要触摸,看完想有个姐姐系列、谢谢UP主
21,初音Y未来,这是部好剧，很好看，真的~~~
但是，特么这不是喜剧啊啊啊啊啊啊魂淡！！！！！
20,NoEchery,差评（￣へ￣）
19,贫神,看到一半看到妹妹勾引姐姐情人的时候看不下去了，说好的喜剧呢？！？！？我还以为是个轻松搞笑青春剧这种！！！！！
18,长腿髃吧,惹
17,梄君,好看，但需要耐心看下去
16,jessie大脑洞,好看(=・ω・=)
15,selfcureillness,看见卡梅隆来支持一下，进过记录片的明星中少有的坚定无神论者
14,子不语carrie,上天赐我一个Simon！
13,捏一下可以吗,姐姐不胖啊，就是片中的人看起来皮肤都太粗糙了
12,浮萍SAMA,以前在cctv6上看过，觉得挺好看的呀……
11,咻比咻比咻比,看不下去+1。。
10,屎黄色的菊花,你需要耐心的看完
9,张莘梓,只有我觉得卡梅隆丑吗
8,问题儿童的猫,好看 适合女孩看_(:3
7,一希冀一,看了半小时看不下去了，不知道前面那些评论是托吧。
6,莲洛琳,好看
5,香香仔么么哒,真的挺好看
4,蓝马君,很好看的
3,dorislovesavenue,真的好看
2,猴子家的二撸子,好看，(*_*)Y
1,豆芽hcy,***^_^
